855296  -76658.7  -358212  -8926.61
858624  -73205.9  -359026  -9237.27
861952  -69746.7  -359807  -9547.09
865280  -66281.4  -360556  -9856.03
868608  -62810.2  -361271  -10164.1
871936  -59333.5  -361954  -10471.2
875264  -55851.7  -362605  -10777.4
878592  -52364.9  -363222  -11082.6
881920  -48873.7  -363806  -11386.8
885248  -45378.1  -364358  -11689.9
888576  -41878.7  -364876  -11992
891904  -38375.7  -365362  -12293
895232  -34869.4  -365815  -12592.9
898560  -31360.1  -366235  -12891.7
901888  -27848.1  -366621  -13189.3
905216  -24333.8  -366975  -13485.7
908544  -20817.5  -367296  -13780.9
911872  -17299.5  -367583  -14074.9
915200  -13780.1  -367838  -14367.6
918528  -10259.6  -368060  -14659
921856  -6738.38  -368249  -14949.1
925184  -3216.67  -368404  -15237.8
928512  305.188  -368527  -15525.2
931840  3826.87  -368617  -15811.2
935168  7348.08  -368674  -16095.8
938496  10868.5  -368698  -16378.9
941824  14387.8  -368690  -16660.6
945152  17905.7  -368648  -16940.8
948480  21421.9  -368574  -17219.5
951808  24936.1  -368467  -17496.6
955136  28447.9  -368327  -17772.2
958464  31957.1  -368155  -18046.3
961792  35463.4  -367950  -18318.7
965120  38966.4  -367712  -18589.5
968448  42465.9  -367442  -18858.6
971776  45961.5  -367140  -19126.1
975104  49453  -366805  -19391.9
978432  52940.1  -366438  -19656
981760  56422.4  -366038  -19918.4
985088  59899.6  -365606  -20179
988416  63371.5  -365143  -20437.8
991744  66837.8  -364647  -20694.9
995072  70298.1  -364119  -20950.1
998400  73752.3  -363560  -21203.5
1.00173e+06  77199.9  -362968  -21455
1.00506e+06  80640.7  -362345  -21704.7
1.00838e+06  84074.4  -361690  -21952.4
1.01171e+06  87500.7  -361004  -22198.3
1.01504e+06  90919.4  -360286  -22442.2
1.01837e+06  94330.1  -359537  -22684.1
1.0217e+06  97732.6  -358756  -22924.1
1.02502e+06  101127  -357945  -23162.1
1.02835e+06  104512  -357102  -23398.1
1.03168e+06  107888  -356229  -23632
1.03501e+06  111254  -355324  -23863.9
1.03834e+06  114612  -354389  -24093.8
1.04166e+06  117959  -353423  -24321.6
1.04499e+06  121296  -352427  -24547.2
1.04832e+06  124622  -351401  -24770.8
1.05165e+06  127938  -350344  -24992.2
1.05498e+06  131243  -349257  -25211.5
1.0583e+06  134536  -348140  -25428.6
1.06163e+06  137819  -346993  -25643.5
1.06496e+06  141089  -345817  -25856.2
1.06829e+06  144347  -344610  -26066.7
1.07162e+06  147593  -343375  -26275
1.07494e+06  150826  -342110  -26481
1.07827e+06  154047  -340816  -26684.8
1.0816e+06  157254  -339492  -26886.3
1.08493e+06  160448  -338140  -27085.5
